epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2377,2.1899,2.47867,1.51556,0.42175,0.54972,0.44194,0.16108,1.8485,4.16715,1.33755,0.000664583,0.000664583,0.000664583
2,122.331,2.16365,1.90501,1.54833,0.60644,0.62707,0.57341,0.20043,1.82607,3.91628,1.41271,0.00131807,0.00131807,0.00131807
3,185.248,2.10489,1.80162,1.51115,0.5066,0.65193,0.51945,0.18419,1.82588,3.67741,1.34175,0.00195836,0.00195836,0.00195836
4,252.121,2.12037,1.71501,1.50529,0.57292,0.53734,0.52843,0.20626,1.81122,2.99866,1.3334,0.0019406,0.0019406,0.0019406
5,309.206,2.08123,1.47949,1.50091,0.51668,0.64641,0.50939,0.17993,1.864,3.12901,1.37536,0.0019208,0.0019208,0.0019208
6,370.88,2.04685,1.35072,1.50566,0.54351,0.65746,0.53822,0.18795,1.88564,2.8353,1.32777,0.001901,0.001901,0.001901
7,435.707,2.03399,1.30248,1.47213,0.63827,0.71547,0.63295,0.22329,1.85193,2.50007,1.37048,0.0018812,0.0018812,0.0018812
8,496.251,2.01109,1.22753,1.46989,0.5898,0.64742,0.57573,0.21922,1.79892,2.10225,1.32193,0.0018614,0.0018614,0.0018614
9,551.653,1.94056,1.20091,1.40287,0.57078,0.6547,0.55385,0.21206,1.77206,2.5198,1.28311,0.0018416,0.0018416,0.0018416
10,605.239,1.98557,1.17446,1.49148,0.59197,0.74543,0.60052,0.21781,1.78548,2.48252,1.34378,0.0018218,0.0018218,0.0018218
11,661.954,2.01869,1.1803,1.50309,0.60763,0.73481,0.60387,0.21778,1.84027,2.19665,1.39206,0.001802,0.001802,0.001802
12,751.981,1.93461,1.11698,1.42851,0.56826,0.73204,0.58355,0.21689,1.76589,2.39351,1.35815,0.0017822,0.0017822,0.0017822
13,816.886,1.9042,1.1114,1.45191,0.65047,0.72928,0.59269,0.22675,1.76338,2.52482,1.33978,0.0017624,0.0017624,0.0017624
14,886.725,1.94922,1.07022,1.45377,0.64538,0.71547,0.61872,0.22894,1.86016,2.31637,1.40102,0.0017426,0.0017426,0.0017426
15,949.314,1.90961,1.05154,1.44582,0.64789,0.74033,0.64118,0.23204,1.85957,2.16178,1.40428,0.0017228,0.0017228,0.0017228
16,1014.18,1.89458,1.00477,1.43247,0.64473,0.74033,0.62802,0.23131,1.85967,2.17885,1.41418,0.001703,0.001703,0.001703
17,1075.48,1.92614,1.01471,1.43482,0.6584,0.69216,0.64831,0.23733,1.91312,1.81092,1.39751,0.0016832,0.0016832,0.0016832
18,1132.39,1.8893,0.99999,1.42529,0.62934,0.66133,0.5849,0.22257,1.84286,2.22471,1.39311,0.0016634,0.0016634,0.0016634
19,1197.2,1.95167,1.08035,1.4511,0.56411,0.70166,0.61092,0.23985,1.82592,2.18977,1.35549,0.0016436,0.0016436,0.0016436
20,1256.42,1.85149,1.00103,1.41212,0.66143,0.72928,0.61804,0.23246,1.78757,2.44179,1.35858,0.0016238,0.0016238,0.0016238
21,1315.07,1.84815,0.95723,1.40294,0.68133,0.79735,0.68364,0.23781,1.92952,2.06923,1.46355,0.001604,0.001604,0.001604
22,1379.58,1.90612,1.01824,1.43797,0.63745,0.73481,0.65908,0.23175,1.86104,2.24444,1.38402,0.0015842,0.0015842,0.0015842
23,1438.65,1.90227,0.97993,1.37849,0.63834,0.76519,0.63568,0.22262,1.88284,2.48007,1.35681,0.0015644,0.0015644,0.0015644
24,1504.29,1.79415,0.9419,1.35136,0.68084,0.78453,0.68736,0.25623,1.82208,1.96862,1.3994,0.0015446,0.0015446,0.0015446
25,1573.23,1.76754,0.93177,1.38419,0.65105,0.66022,0.61864,0.2289,1.84736,2.22168,1.41993,0.0015248,0.0015248,0.0015248
26,1639.18,1.83028,0.94257,1.43315,0.65407,0.75691,0.6307,0.23326,1.87151,2.22801,1.43664,0.001505,0.001505,0.001505
