epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3988,2.00437,3.54704,1.85132,0.00567,0.85,0.29414,0.20015,1.08212,3.16237,1.24134,0.0001,0.0001,0.0001
2,28.2087,1.40132,2.65262,1.32974,0.00667,1,0.62861,0.37833,1.21111,2.71435,1.06613,0.000217822,0.000217822,0.000217822
3,39.9657,1.39476,1.69808,1.23218,0.0065,0.975,0.69947,0.43939,1.15224,2.79402,1.10445,0.000333268,0.000333268,0.000333268
4,51.8412,1.23176,1.45976,1.16674,0.00667,1,0.80934,0.48571,1.17544,2.65174,1.0369,0.000446338,0.000446338,0.000446338
5,63.4214,1.31372,1.34203,1.16117,0.0065,0.975,0.80027,0.5249,1.1223,2.65567,1.00821,0.000557032,0.000557032,0.000557032
6,75.106,1.2905,1.28198,1.19328,0.00667,1,0.77722,0.51131,1.09532,2.65041,1.01348,0.00066535,0.00066535,0.00066535
7,88.606,1.21377,1.33977,1.16822,1,0.14173,0.73085,0.46634,1.13661,2.55069,1.12026,0.000771292,0.000771292,0.000771292
8,102.639,1.25244,1.1976,1.17458,1,0.2443,0.56984,0.36107,1.17642,2.54913,1.18474,0.000874858,0.000874858,0.000874858
9,117.268,1.27527,1.2066,1.16904,1,0.29702,0.62146,0.42522,1.23081,2.38954,1.16941,0.000976048,0.000976048,0.000976048
10,132.169,1.36979,1.27902,1.19328,0.87414,0.45,0.60335,0.41227,1.20877,2.16937,1.18357,0.00107486,0.00107486,0.00107486
11,146.882,1.20435,1.11306,1.14424,0.91787,0.6,0.74276,0.51225,1.17678,1.89239,1.10553,0.0011713,0.0011713,0.0011713
12,161.329,1.24998,1.0798,1.14324,0.77493,0.51668,0.78932,0.51532,1.23801,1.87707,1.11276,0.00126536,0.00126536,0.00126536
13,175.491,1.19218,1.10968,1.13643,1,0.47028,0.73258,0.47297,1.16406,1.94846,1.12407,0.00135705,0.00135705,0.00135705
14,189.675,1.19295,1.12606,1.18162,0.92836,0.648,0.85095,0.5803,1.13653,1.67467,1.14394,0.00144636,0.00144636,0.00144636
15,204.365,1.16903,1.1081,1.1193,0.96696,0.73187,0.88319,0.56397,1.15335,1.57226,1.17578,0.00153329,0.00153329,0.00153329
16,219.633,1.1691,1.03505,1.13949,0.83654,0.5,0.75343,0.4639,1.23704,1.71197,1.22297,0.00161785,0.00161785,0.00161785
17,234.353,1.18463,1.04922,1.18312,0.77783,0.675,0.77308,0.47181,1.20282,1.80446,1.21597,0.0016832,0.0016832,0.0016832
18,248.474,1.1723,1.01862,1.13912,0.94519,0.86235,0.95245,0.60635,1.11992,1.5369,1.1875,0.0016634,0.0016634,0.0016634
19,263.641,1.06527,1.03732,1.06677,0.96782,0.75201,0.91221,0.59744,1.15911,1.49881,1.22313,0.0016436,0.0016436,0.0016436
20,278.332,1.2183,1.03311,1.175,0.9576,0.8,0.95991,0.62265,1.26429,1.421,1.27302,0.0016238,0.0016238,0.0016238
21,292.698,1.13236,0.96168,1.12033,0.90662,0.875,0.9651,0.60845,1.25859,1.43934,1.21565,0.001604,0.001604,0.001604
22,306.902,1.17667,0.95187,1.11835,0.93835,0.76122,0.92786,0.64797,1.13822,2.1203,1.18662,0.0015842,0.0015842,0.0015842
23,321.704,1.13749,0.92605,1.15078,1,0.64471,0.88174,0.6032,1.14981,2.36809,1.1979,0.0015644,0.0015644,0.0015644
24,335.958,1.06133,0.92899,1.10086,0.89235,0.825,0.95453,0.61322,1.18773,1.71814,1.24596,0.0015446,0.0015446,0.0015446
25,350.257,1.12988,0.88289,1.10375,0.92826,0.97058,0.98301,0.63391,1.20224,1.23674,1.27049,0.0015248,0.0015248,0.0015248
26,364.59,1.11454,0.86592,1.12483,0.94585,1,0.99211,0.68233,1.18379,1.02973,1.26991,0.001505,0.001505,0.001505
27,378.892,1.0197,0.84651,1.0772,0.93773,0.975,0.97227,0.63472,1.20111,1.0255,1.26675,0.0014852,0.0014852,0.0014852
28,392.502,1.20286,0.91613,1.20693,0.88024,0.825,0.9341,0.62367,1.16756,1.05413,1.23568,0.0014654,0.0014654,0.0014654
29,404.438,1.15663,0.88862,1.16779,0.788,0.925,0.94118,0.61501,1.12695,0.9943,1.18374,0.0014456,0.0014456,0.0014456
30,416.439,1.10528,0.84796,1.0837,0.89205,0.925,0.91753,0.63285,1.07216,0.90408,1.14395,0.0014258,0.0014258,0.0014258
31,428.204,1.07236,0.84875,1.09418,0.84292,0.93922,0.92843,0.63293,1.06381,0.9776,1.16251,0.001406,0.001406,0.001406
32,440.193,0.96804,0.77597,1.07254,0.87796,0.775,0.8867,0.59376,1.12401,1.04303,1.17157,0.0013862,0.0013862,0.0013862
33,451.877,1.07993,0.79765,1.13117,0.90575,0.825,0.90479,0.60898,1.10684,1.03459,1.16437,0.0013664,0.0013664,0.0013664
34,470.347,1.12232,0.79742,1.07046,0.88206,0.975,0.95035,0.65046,1.07569,0.84749,1.16046,0.0013466,0.0013466,0.0013466
35,482.376,1.0559,0.80085,1.07133,0.91914,0.9,0.96533,0.68237,1.07812,0.80544,1.19429,0.0013268,0.0013268,0.0013268
36,494.486,1.0307,0.7845,1.08649,0.95934,0.95,0.97631,0.68653,1.10749,0.85399,1.21542,0.001307,0.001307,0.001307
37,506.754,0.99788,0.80819,1.0566,0.98538,0.975,0.99451,0.71637,1.07017,0.82085,1.20045,0.0012872,0.0012872,0.0012872
38,519.409,0.97252,0.79457,1.07594,0.92192,1,0.98748,0.70058,1.03441,0.80345,1.19062,0.0012674,0.0012674,0.0012674
39,532.359,1.05169,0.78088,1.06218,0.9499,0.94797,0.98901,0.69884,1.02948,0.79614,1.18692,0.0012476,0.0012476,0.0012476
40,545.032,1.15228,0.76869,1.10934,0.90805,0.9877,0.98318,0.68316,1.07177,0.74614,1.25531,0.0012278,0.0012278,0.0012278
41,557.217,0.97175,0.8177,1.07511,0.95202,0.99224,0.97639,0.69153,1.0788,0.75194,1.24913,0.001208,0.001208,0.001208
42,569.655,1.02613,0.75359,1.13041,0.90446,1,0.97965,0.70101,1.00388,0.69471,1.16367,0.0011882,0.0011882,0.0011882
43,582.075,1.09074,0.78628,1.17664,0.92157,1,0.98141,0.71937,0.99672,0.69224,1.17116,0.0011684,0.0011684,0.0011684
44,594.884,0.98023,0.67959,1.03654,0.86168,1,0.96177,0.68544,1.03104,0.72958,1.20828,0.0011486,0.0011486,0.0011486
45,608.012,1.06281,0.72495,1.12395,0.88841,0.99529,0.98209,0.68728,1.06203,0.7166,1.21734,0.0011288,0.0011288,0.0011288
46,621.077,0.96056,0.67249,1.02164,0.94584,0.975,0.9908,0.68666,1.04892,0.67435,1.1539,0.001109,0.001109,0.001109
